mcsa_id,pdb_chain_id,uniprot_id,assembly_type,ec,gene3d,resolution,cath_class,cath_architecture,ec_class,ec12,ec123,nprot,nresidues,seqid_mean,rmsd_mean_0,dactive_mean,dactive_sd,dactive_range,lrmsf_mean,lrmsf_sd,lrmsf_cv,lrmsf_range,lrmsd_mean,lrmsd_sd,rmsd_mean,rmsd_sd,nresidues_asite,lrmsf_asite,lrmsd_asite
216,1ca2_A,P00918,monomer,4.2.1.1; 4.2.1.69,3.10.200.10,2,alpha/beta,Roll,Lyases,4.2,4.2.1,5,256,0.3911,2.2725,13.204659491135233,5.160415583949962,27.100337156574266,-1.0614437385699091,0.24627690155211462,-0.23202068334203496,1.9476308187986509,2.473454731418348,0.447358019250325,12.919707042201596,5.478755970800076,6,-1.3277575699016366,2.505949234797369
252,1igs_A,Q06121,monomer,4.1.1.48,3.20.20.70,2,alpha/beta,Alpha-Beta Barrel,Lyases,4.1,4.1.1,6,245,0.34786666666666666,2.9329333333333336,12.075829389033347,4.8547204233495975,22.691866935093724,-1.1201805081082823,0.22436837057764955,-0.2002966209049238,1.2383348387479474,0.3599758566177602,0.7489367884615978,1.9844766423287061,1.9203793670391347,7,-1.3521075605751405,-0.5140266787749977
257,1xx2_A,P05364,monomer,3.5.2.6,3.40.710.10,1.88,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.5,3.5.2,10,359,0.45395555555555556,1.4757333333333333,15.046504098346585,5.932929597782939,30.06051118993155,-1.0875183840537417,0.24655325704881773,-0.22671180613038155,1.2189358519843818,-0.0871954120490451,0.6347340741275794,1.1492463994487683,0.958052695401147,6,-1.2988893663678847,-0.8727039089258959
258,1sml_A,P52700,monomer,3.5.2.6,3.60.15.10,1.7,alpha/beta,4-Layer Sandwich,Hydrolases,3.5,3.5.2,4,263,0.3823333333333333,1.7953333333333332,13.542705522643832,6.293312916744567,35.78757662932767,-0.993882016018577,0.3914011034628014,-0.39381042936135147,2.744440479961967,0.17746040930812906,0.9052228778265292,2.257611726617803,4.670942949325032,7,-1.236159901008815,-0.36083404140101605
290,1zio_A,P27142,monomer,2.7.4.3,3.40.50.300,1.96,alpha/beta,3-Layer(aba) Sandwich,Transferases,2.7,2.7.4,7,217,0.47323809523809524,1.821952380952381,12.088700988679276,5.190700476173067,26.028053645395172,-0.9716169407774291,0.25105863793659966,-0.25839261070902875,1.3679575219266473,-0.019011431972299254,0.6410378750354425,1.2672460915731167,1.2616524280177,5,-1.1978754959585274,-0.512198191443501
328,1lbm_A,Q56320,monomer,5.3.1.24,3.20.20.70,2.8,alpha/beta,Alpha-Beta Barrel,Isomerases,5.3,5.3.1,4,193,0.3333333333333333,2.553166666666667,13.797282714430594,4.611947599735913,24.666313607833658,-1.0862036029708868,0.19987760009113395,-0.1840148564637851,0.95413348039414,0.34685639341785673,0.664191235811483,1.7874160109245685,1.3439128576966266,2,-1.2450241270807427,-0.4449373171235199
351,1snz_A,Q96C23,monomer,5.1.3.3,2.70.98.10,2.2,all-beta,Distorted Sandwich,Isomerases,5.1,5.1.3,4,341,0.33,2.65,16.291227422824033,5.687043457936256,29.162881137182808,-1.1034180418656596,0.2457094724623354,-0.22268031076135908,1.3725241068453642,0.14782289854102762,0.8174661920589372,1.6876837478606865,1.698378351271026,3,-1.3780409193390963,-0.603873153141372
362,1d6o_A,P62942,monomer,5.2.1.8,3.10.50.40,1.85,alpha/beta,Roll,Isomerases,5.2,5.2.1,7,107,0.45585714285714285,2.302952380952381,9.628011528948726,4.6935215975764395,22.07172718660685,-1.0052540770292273,0.2718303955226477,-0.2704096424318649,1.9231384368008326,-0.13883357251297293,0.7304644038678769,1.2108094743908835,1.5857373478311925,6,-1.1135103372098611,-0.8572469159731855
376,1a4l_A,P03958,monomer,3.5.4.4,3.20.20.140,2.6,alpha/beta,Alpha-Beta Barrel,Hydrolases,3.5,3.5.4,4,349,0.4418333333333333,2.4226666666666667,14.424816994467294,5.487376386393321,27.686178550696464,-1.1312579078217673,0.2357213100709893,-0.20837097220815876,1.3196274331860212,0.08055572055586065,0.8002354214759141,1.5198079132748903,1.4175068440457015,6,-1.4287561732180558,-1.039384848379499
394,1aj0_A,P0AC13,monomer,2.5.1.15,3.20.20.20,2,alpha/beta,Alpha-Beta Barrel,Transferases,2.5,2.5.1,10,280,0.40068888888888887,2.3527555555555555,16.389332649425835,5.7858864116558335,28.64108628727988,-1.074703346311129,0.24191906247308884,-0.22510310710715206,1.1692068729464227,0.3843138281733687,0.8462261699748324,2.244857920032388,2.549242357588925,2,-1.2574078398851956,-0.57628219699179
444,1cel_A,P62694,monomer,3.2.1.91,2.70.100.10,1.8,all-beta,Distorted Sandwich,Hydrolases,3.2,3.2.1,6,431,0.4632,2.1190666666666664,18.005579696166237,7.157402324340805,37.665908046932834,-1.1096970121002703,0.21474848304472569,-0.19351992544188393,1.1076055623635586,0.07403347862299874,0.7482743758959131,1.47070584003301,1.3893666616388247,4,-1.360062371664397,-0.6229747178516001
462,1pnt_A,P11064,monomer,3.1.3.2; 3.1.3.48,3.40.50.2300,2.2,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.1,3.1.3,6,155,0.37006666666666665,1.8133333333333332,12.056103118113342,5.846799056524807,29.652246525347792,-1.071587504891156,0.2699759135026623,-0.2519401469972202,1.480523195906854,0.04064664014779299,0.8025362083918859,1.4626261934449316,1.375215079173043,6,-1.3807145080366319,-1.065860497948276
467,1cv2_A,D4Z2G1,monomer,3.8.1.5,3.40.50.1820,1.58,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.8,3.8.1,5,293,0.4518,1.8997,14.438674732935045,5.734304644952316,32.08002725996348,-1.1416250462687847,0.2290161969704087,-0.2006054419696824,1.8698051518936343,-0.1732758577355849,0.7983755370343956,1.1974709233218388,1.2606263332427858,5,-1.3844998200987833,-1.1094527823144005
480,1czf_A,P26214,monomer,3.2.1.15,2.160.20.10,1.68,all-beta,3 Solenoid,Hydrolases,3.2,3.2.1,4,335,0.4405,1.8561666666666667,15.444995778162614,6.945798695125947,35.63763687451793,-1.1252614844952211,0.20913054321891109,-0.18585061881214618,1.0459354284872058,0.03478720458902286,0.7283912378656744,1.385810973820504,1.2129163750155376,6,-1.3520994554206864,-0.8072768751174829
597,1uch_A,P15374,monomer,3.4.19.12,3.40.532.10,1.8,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.4,3.4.19,4,204,0.3755,3.1531666666666665,14.708367258616963,6.121534269317577,29.129673084331035,-1.0638155630101855,0.2422447272939987,-0.2277130883557861,1.1556038998801,0.4083592833579471,0.7425352652420734,2.0343360851418213,2.0088752103450536,4,-1.2828738959156964,-0.12867760526044622
681,1gq8_A,P83218,monomer,3.1.1.11,2.160.20.10,1.75,all-beta,3 Solenoid,Hydrolases,3.1,3.1.1,4,300,0.30633333333333335,6.677,17.85465818432214,8.281737142243953,37.60167521534114,-1.0815739709444079,0.25577035190645236,-0.2364797589231174,1.473892245710335,0.9083710728010008,0.7837676127211715,3.563486413596062,4.000856143931572,5,-1.2873695380717238,-0.046648010911333665
693,2rnf_A,P34096,monomer,3.1.27.-,3.10.130.10,2.4,alpha/beta,Roll,Hydrolases,3.1,3.1.27,7,120,0.38361904761904764,2.1996190476190476,10.67086594926727,3.7789639894861287,18.138609538771156,-0.9616926781491726,0.24175357370799064,-0.2513833984607826,1.0646455433433069,0.3075621508661133,0.8669751186181669,2.0001911278899542,1.8789343803337113,3,-1.1037290578959125,-0.67227479029815
749,1nml_A,P83787,monomer,NA,1.10.760.10,2.2,all-alpha,Orthogonal Bundle,NA,NA,NA,6,316,0.5624666666666667,3.8921333333333332,23.630064335221217,9.089615722035393,44.934228790533396,-0.9672799212471802,0.28386929592959365,-0.2934717135072767,1.9430096347884116,0.3526694071636396,0.8668076947986818,2.1889176206632563,2.441579381277662,1,-0.9203675401461986,1.621135546735592
814,1glo_A,P25774,monomer,3.4.22.27,3.90.70.10,2.2,alpha/beta,Alpha-Beta Complex,Hydrolases,3.4,3.4.22,4,215,0.45766666666666667,1.2186666666666666,14.380331131513156,5.905443917142534,26.27699971457929,-1.137479655087178,0.2497631539215081,-0.21957593070301193,1.3579678492985934,-0.26805760109758264,0.5952986950249116,0.9303021711476994,0.6935195022641877,4,-1.3090044250782154,-0.8662879775523573
858,1mrq_A,Q04828,monomer,1.1.1.-; 1.1.1.112; 1.1.1.149; 1.1.1.209; 1.1.1.210; 1.1.1.357; 1.1.1.51; 1.1.1.53; 1.1.1.62; 1.3.1.20,3.20.20.100,1.59,alpha/beta,Alpha-Beta Barrel,Oxidoreductases,1.1,1.1.1,16,322,0.382425,1.7043416666666666,15.555950407383163,6.080995550933856,31.545194261567012,-1.0675366582152035,0.26478544962163875,-0.24803405820679644,1.6151652655545394,0.3765332978865467,0.8600384480522405,2.1780356402958247,2.2178676660441137,4,-1.3087215240044832,-0.33155361755124774
877,1pbg_A,P11546,monomer,3.2.1.85,3.20.20.80,2.3,alpha/beta,Alpha-Beta Barrel,Hydrolases,3.2,3.2.1,23,447,0.37448616600790513,2.4242332015810275,18.480937134724762,5.75016751080774,32.41501161499098,-1.106850483153787,0.23438726885703143,-0.21176055160511267,1.3279164301796957,0.25502025123521177,0.7547636282008185,1.7944523143663407,1.7759762749479382,2,-1.3248474937565113,-0.6318630893448449
908,1rtu_A,P00654,monomer,4.6.1.20,3.10.450.30,1.8,alpha/beta,Roll,Lyases,4.6,4.6.1,5,107,0.45089999999999997,2.5478,10.714796009150543,4.296009324182664,18.78650827056481,-0.9954927274396351,0.3115941334984942,-0.3130049320399367,1.4314518308041995,0.24755011522823445,0.8409678062985573,1.8619530213721134,1.8233137423878871,4,-1.1858816693282421,-0.49464874291419897
923,2acy_A,P41500,monomer,3.6.1.7,3.30.70.100,1.8,alpha/beta,2-Layer Sandwich,Hydrolases,3.6,3.6.1,4,98,0.33766666666666667,1.291,14.631901579257304,6.684811736047792,29.08613855624434,-1.0432995671720662,0.24055069014314728,-0.23056722892656434,1.0209670303971414,-0.17706773036475776,0.8794007195310227,1.33681365898069,1.7023250770819431,2,-1.1343934715368693,-0.6036075559532962
931,2pth_A,P0A7D1,monomer,3.1.1.29,3.40.50.1470,1.2,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.1,3.1.1,7,193,0.3933333333333333,1.8515714285714286,14.821010687955614,6.446099370767832,31.399976951286448,-1.0729332027370375,0.28267191100149136,-0.26345713813348237,1.4080466317887872,0.09028700353235336,0.8098850181726507,1.6482933330780425,2.1691471166732015,4,-1.2383142532017803,-0.7005062369854723
